,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7
1,MIR4435-2HG,ANKRD1,TPX2,S100A6,SORL1,HOMEZ,RTN3
2,SNHG18,KISS1,AURKA,RPL10,SCFD2,CUL9,OTUD3
3,FTH1,F3,CENPF,RPL13A,MAMDC4,LMBR1L,CUL7
4,THBS1,PFN1,CKAP2,MARCKSL1,MOB4,SCD,RRAD
5,FTL,RPL38,CDKN2D,TSC22D1,LRIG2,EFNB1,SLC29A3
6,CFLAR,RPL35A,CCNA2,ADIRF,TM2D3,LAS1L,CDC25C
7,SAA1,RPL41,SLCO4A1,KRT19,ZSCAN30,TP53RK,USP32
8,TRIM16L,RPL35,MKI67,LGALS1,MYLIP,RUNX1,RTCB
9,RARRES2,HIST1H4C,UBE2C,IFI27,MUC4,TMEM133,BBS2
10,CALD1,PTMA,KIF2C,TIMP1,MTX3,LINC00707,EIF4E3
11,IL32,IL11,LINC00704,S100A2,DAGLA,MCPH1,INHBA
12,MT-ND4,RPLP0,GAS2L3,RPL11,NR2C2,RSRP1,PPP1R12B
13,LRRC61,KRTAP2-3,TOP2A,TIMP3,SMKR1,CTB-55O6.8,RPS6KL1
14,CYP1B1,RPL29,HMGB2,GAPDH,G2E3,ETV6,ANKRD13B
15,MALAT1,SERPINE1,NUF2,SLCO4A1,PTP4A3,RP11-666O2.2,LINC00685
16,SLC7A5,RPL36,COL13A1,RPL23A,SOS2,ZNF226,PYCARD
17,FLG,RPS28,DLGAP5,RPL27A,MUC1,LINC00856,NRF1
18,RP5-1172A22.1,RPL12,KPNA2,RPL19,TSNARE1,RUFY3,VGLL3
19,MT-CO2,MYBL2,CDCA8,RPLP2,MYL9,LRRC16A,LAT2
20,PXK,RP11-54H7.4,PLAU,HMGA1,SLC36A1,HSPB8,RSRC2
21,MINCR,RPL26,KNSTRN,EEF1A1,NPPB,GCLC,SMAD6
22,NEAT1,RPL28,UBALD2,NEAT1,G3BP1,RTN4IP1,ANXA8
23,ZNF703,CTGF,CDC20,MAGI1,TIPARP-AS1,RUNDC1,FAM110A
24,SELM,C4BPB,HMGA1,KRT81,MYL6B,DYRK1A,DDX47
25,FBXO32,RP11-554I8.2,KIF20A,MT2A,RPTOR,MTR,RP4-549L20.3
26,MT-ND2,CITED2,AURKB,RPL13,SEC61A2,RYK,LINC01106
27,NUAK1,YBX1,H2AFX,RPS18,DMPK,TP73,GPR153
28,PPME1,RPL32,RPL10,RPS16,MTRNR2L8,MTX3,SRC
29,MT-ND3,RPL37A,RPL11,MT-CO1,LINC01106,MTX2,PPM1M
30,IFI27,RPS15,CCNB1,IGFBP6,CROCC,TMEM131,RPS19BP1
