,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9
1,S100A12,SCT,FCER1A,IL7R,GZMK,CD8B,MS4A7,KLRF1,MS4A1
2,VCAN,DERL3,GSN,TRAT1,CCL5,CD8A,FCGR3A,FGFBP2,CD79A
3,CD14,PTCRA,PLD4,MAL,LYAR,LEF1,IFITM3,KLRD1,FCER2
4,FCN1,DNASE1L3,HLA-DQA1,ITM2A,CST7,CCR7,C5AR1,PRF1,CD22
5,MS4A6A,LILRA4,IL1B,AQP3,GZMA,NELL2,HCK,SPON2,TNFRSF13C
6,MGST1,JCHAIN,LGALS2,SPOCK2,KLRG1,OXNAD1,MAFB,GNLY,CD79B
7,S100A8,MZB1,HLA-DMB,CD2,DUSP2,LDLRAP1,SERPINA1,CD160,VPREB3
8,S100A9,TCF4,HLA-DPB1,CD6,NKG7,PIK3IP1,CFD,HOPX,BANK1
9,LYZ,ITM2C,HLA-DPA1,LEF1,CTSW,FLT3LG,IFI30,IL2RB,FCRLA
10,LGALS2,TSPAN13,HLA-DMA,ITGB1,SH2D1A,TRABD2A,LST1,CCL4,RALGPS2
11,CD36,SPIB,LY86,PIK3IP1,CMC1,PDE3B,AIF1,GZMA,HLA-DRA
12,LGALS1,GZMB,HLA-DQB1,FLT3LG,SYNE2,TCF7,MTSS1,CST7,HLA-DQB1
13,TYROBP,PLD4,CST3,TCF7,GZMM,RCAN3,MARCKS,GZMB,HLA-DPB1
14,TYMP,FAM129C,IFI30,RCAN3,LAG3,IL7R,BCL2A1,NKG7,HLA-DPA1
15,CST3,IRF7,LYZ,OPTN,GPR171,TXK,CLEC7A,S1PR5,TCL1A
16,AIF1,BCL11A,GRN,BIRC3,SAMD3,BCL11B,FAM26F,CLIC3,HLA-DOB
17,LST1,CXCR3,CEBPD,RORA,CD2,PRMT9,SPI1,MATK,HLA-DRB1
18,CFD,IRF8,SPI1,GPR183,IL7R,AQP3,RHOC,CD247,EAF2
19,GRN,CLIC3,RNASE6,RGCC,CD8A,SATB1,TYMP,ADGRG1,HVCN1
20,RGS2,RNASE6,HCK,RHOH,TC2N,SPOCK2,DUSP6,GZMH,SWAP70
21,DUSP6,ALOX5AP,FGD2,PIM2,NCR3,ACTN1,FCER1G,KLRB1,ARHGAP24
22,FCER1G,C12orf75,,SOCS3,TIGIT,BCL2,STXBP2,CTSW,HLA-DQA1
23,CLEC7A,CYB561A3,,SERINC5,PYHIN1,MAL,LYN,TTC38,HLA-DMB
24,SERPINA1,STMN1,,PIM1,TRAT1,NUCB2,NFKBIZ,FCGR3A,ORAI2
25,MPEG1,FCER1A,,ARID5B,HOPX,RHOH,TYROBP,PYHIN1,FAM129C
26,STXBP2,GSN,,TRABD2A,PRF1,GZMM,MAPKAPK3,XCL1,MEF2C
27,SPI1,MPEG1,,SLFN5,MT2A,SERINC5,RHOB,APMAP,PLPP5
28,GCA,RGS1,,BCL11B,ZAP70,CD6,FGR,SAMD3,HLA-DMA
29,IL1B,TCL1A,,LDLRAP1,CD8B,TC2N,LGALS1,CMC1,TSPAN13
30,SOD2,PPM1K,,TNFAIP3,ITM2A,ANXA2R,CST3,AKR1C3,FCMR
